ID,shop name,postal code,phone number,street address,yelp star,yelp price,yelp number of reviews,advisor star,advisor price,advisor number of reviews
,90012,2136170552,422 e 2nd st,$$$,3101,4.5,$$ - $$$,271
1,sugarfish by sushi nozawa,90017,2136273000,600 w 7th st,$$$,1776,4.5,$$ - $$$,280
2,rocksugar pan asian kitchen,90067,3105529988,10250 santa monica blvd,$$,1725,4.5,$$ - $$$,336
3,katsuya hollywood,90028,3233912757,6300 hollywood blvd,$$$,1535,4.5,$$$$,400
4,pagoda bar at yamashiro hollywood,90068,3234665125,1999 n sycamore ave,$$$,14,4,$$$$,618
5,ayara thai cuisine,90045,3104108848,6245 w 87th st,$$,1512,4.5,$$ - $$$,173
6,yang chow,90012,2136250811,819 n broadway,$$,1554,4,$$ - $$$,239
7,n/naka,90034,3108366252,3455 overland ave,$$$$,397,5,$$$$,77
8,daikokuya,90064,3105754999,2208 sawtelle blvd,$$,947,4.5,$,202
9,tatsu ramen,90025,3106842889,2123 sawtelle blvd,$$,1827,4.5,$$ - $$$,88
10,genwa korean bbq,90036,3235490760,5115 wilshire blvd,$$,2251,4.5,$$ - $$$,134
11,katsuya l.a. live,90015,2138058763,800 w olympic blvd,$$$,912,4,$$ - $$$,199
12,komodo,90035,3102465153,8809 w pico blvd,$$,1258,4.5,$,55
13,hae jang chon korean bbq restaurant,90020,2133898777,3821 w 6th st,$$,3300,4.5,$$ - $$$,50
14,hinoki & the bird,90067,3105521200,10 w century dr,$$$$,914,4,$$$$,147
15,chosun galbee,90019,3237343330,3330 w olympic blvd,$$$,1350,4,$$ - $$$,108
16,jitlada,90027,3236679809,5233 w sunset blvd,$$,1529,4,$$ - $$$,109
17,bcd tofu house,90010,2133826677,3575 wilshire blvd,$$,2396,4,$$ - $$$,129
18,si laa,90035,3108587738,1128 s robertson blvd,$$,195,5,$$ - $$$,48
19,chaya downtown,90071,2132369577,525 s flower st,$$$,822,4.5,$$ - $$$,102
20,kang ho dong baekjeong,90020,2133849678,3465 w 6th st,$$,2748,4.5,$$ - $$$,73
21,wokcano,90017,2136232288,800 w 7th st,$$,1112,4,$$ - $$$,109
22,marugame monzo,90012,2133469762,329 e 1st st,$$,1935,4.5,$$ - $$$,40
23,pine & crane,90026,3236681128,1521 griffith park blvd,$$,1112,4.5,$$ - $$$,41
24,soowon galbi kbbq restaurant,90005,2133659292,856 s vermont ave,$$,2054,4.5,$$ - $$$,53
25,little sister,90017,2136283146,523 w 7th st,$$,480,4.5,$$ - $$$,31
26,luv2eat thai bistro,90028,3234985835,6660 w sunset blvd,$$,331,4.5,$,38
27,pink pepper,90028,3234612462,1638 north la brea avenue,$$,433,4.5,$$ - $$$,65
28,shin-sen-gumi hakata ramen - little tokyo,90012,2136877108,132 s central ave,$$,1873,4.5,$$ - $$$,42
29,triple 8 china bar & grill,90015,2137473700,800 w olympic blvd,$$,278,4,$$ - $$$,59
30,thai patio,90027,3234663894,5273 hollywood blvd,$,1126,4,$,82
31,the izaka-ya by katsu-ya,90048,3237829536,8420 w 3rd st,$$$,822,4.5,$$ - $$$,97
32,kogi bbq truck,91604,,valleyheart dr at lankershim blvd,$,7,4.5,$,80
33,kogi bbq truck - azul,,3233150253,,$,2117,4.5,$,80
34,silverlake ramen,90026,3236608100,2927 w sunset blvd,$$,1836,4.5,$,36
35,pa ord noodle,90027,3234613945,5301 sunset blvd,$,1057,4.5,$,43
36,pot,90010,2133683030,3515 wilshire blvd,$$,592,4,$$ - $$$,106
37,commissary,90010,2133683030,3515 wilshire blvd,$$,821,4,$$ - $$$,106
38,pot cafe,90010,2133683030,3515 wilshire blvd,$,78,4,$$ - $$$,106
39,toi on sunset,90046,3238748062,7505 1/2 w sunset blvd,$$,1009,4,$$ - $$$,109
40,tsujita la artisan noodle,90025,3102317373,2057 sawtelle blvd,$$,2500,4,$$ - $$$,103
41,tsujita la artisan noodle annex,90025,3102310222,2050 sawtelle blvd,$$,1064,4,$$ - $$$,103
42,quarters korean bbq,90020,2133658111,3465 w 6th st,$$,1174,4,$$ - $$$,36
43,shintaro japanese restaurant,90068,3238826524,1900 n highland ave,$$,389,4,$$ - $$$,70
44,vegan house,90028,3239626195,1717 wilcox ave,$,302,4.5,$,33
45,kanpai japanese sushi bar & grill,90045,3103387223,8325 lincoln blvd,$$$,1125,4.5,$$ - $$$,88
46,au lac,90012,2136172533,710 w 1st st,$$,367,4.5,$$ - $$$,34
47,kino sushi,90028,3234654567,6721 hollywood blvd,$$,293,4,$$ - $$$,69
48,the district by hannah an,90048,3102782345,8722 w 3rd st,$$$,425,4,$$ - $$$,44
49,sugarfish by sushi nozawa,90049,3108204477,11640 san vicente blvd,$$$,873,4.5,$$ - $$$,53
50,cho oishi,90028,3234640500,6801 hollywood blvd,$$,186,3.5,$$ - $$$,130
