_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number,label
6,6,1522,katsuya,90028,6300 hollywood blvd,3238718777,katsuya hollywood,90028,6300 hollywood blvd,3233912757,1
9,9,1850,yang chow,90012,819 n broadway,2136250811,yang chow,90012,819 n broadway,2136250811,1
18,18,1651,hae jang chon korean bbq restaurant,90020,3821 w 6th st,2133898777,gaam restaurant and lounge,90020,3465 w 6th st,2133888850,-1
23,21,2075,chosun galbee restaurant,90019,3330 w olympic blvd,3237343330,chosun galbee,90019,3330 w olympic blvd,3237343330,1
25,22,2381,jitlada restaurant,90027,5233 1/2 w sunset blvd,3236679809,ocha classic restaurant,90027,5189 w sunset blvd,3236633901,-1
28,24,1358,si laa thai,90035,1128 s robertson blvd,3108587738,si laa,90035,1128 s robertson blvd,3108587738,1
30,28,1828,kang hodong baekjeong,90020,3465 w 6th st,2133849678,kang ho dong baekjeong,90020,3465 w 6th st,2133849678,1
32,30,2123,wokcano - downtown la,90017,800 w 7th st,2136232288,the counter downtown la,90017,725 w 7th st,2132287800,-1
33,31,1644,marugame monzo,,"329 e. 1st , los angeles, california 90012",2133469762,marugame monzo,90012,329 e 1st st,2133469762,1
45,43,1810,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700,triple 8 china bar & grill,90015,800 w olympic blvd,2137473700,1
46,43,2541,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700,rainbow bar & grill,90069,9015 w sunset blvd,3102784232,-1
49,43,3504,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700,el criollo bar & grill,91506,916 w burbank blvd,8182600211,-1
50,46,1792,thai patio,90027,5273 hollywood blvd,3234663894,thai patio,90027,5273 hollywood blvd,3234663894,1
52,48,692,kogi bbq taco truck,,,7146974683,kogi bbq truck,91604,valleyheart dr at lankershim blvd,,1
65,53,1248,toi on sunset,90046,7505 1/2 w sunset blvd,3238748062,bossa nova on sunset,90046,7181 w sunset blvd,3234367999,-1
