name,post,phone,addr,label
0.2754481222,0,-1,0.0282748598,-1
0.2451329565,0,-1,0.0209353641,-1
0.1661357263,1,-1,0.4768227298,-1
0.3844362129,1,-1,0.199217536,-1
0.1823484823,0,-1,0.7773812588,-1
1,1,1,1,-1
0.4606514286,-1,-1,0.3502307564,-1
0.0365991471,1,-1,0.1414567674,-1
1,0,1,1,-1
0.357279295,1,-1,0.2908541981,-1
0.024136822,1,-1,0.2272439551,-1
0.3231511647,1,-1,0.2272439551,-1
0.0534450051,1,-1,0.3255518151,-1
0.044843332,1,0,0.2931764871,-1
0.0951066716,1,-1,0.4330932526,-1
0.3145854178,1,-1,0.1287664937,-1
0.0549002099,1,-1,0.1651607886,-1
0.0830702926,1,-1,0.3183393833,-1
0.3613066518,1,-1,0.1287664937,-1
0.2128174208,1,-1,0.1414567674,-1
0.7256417484,1,-1,0.149985282,-1
0.2584746067,1,-1,0.1414567674,-1
0.1155781797,1,-1,0.5369936562,-1
0.1435091525,1,-1,0.434475097,-1
0.0537619918,1,-1,0.5155088712,-1
0.4126014295,1,-1,0.4121640538,-1
0.0823001466,1,-1,0.394752713,-1
0.0583513555,1,-1,0.39012694,-1
0.1383990431,0,0,0.1668760528,-1
0.1894094264,0,0,0.0377977228,-1
0.2578093631,0,0,0.039431625,-1
0.0938173509,1,-1,0.3072282764,-1
0.296266224,1,-1,0.4478173225,-1
0.1281037817,0,0,0.1809665476,-1
0.1655725583,0,0,0.0315515019,-1
0.160705657,1,-1,0.1747900988,-1
0.0880235115,1,-1,0.6027510514,-1
0.075157731,1,-1,0.1287664937,-1
0.2697582352,0,0,0.2292632879,-1
0.0372211416,1,-1,0.5536825449,-1
0.0384697073,1,-1,0.6027510514,-1
0.0757668805,1,-1,0.4996709902,-1
0.5768116924,-1,-1,0.4702662715,-1
0.9597835842,1,1,0.7237886839,-1
1,1,1,0.8742558615,-1
0.037209661,1,-1,0.4255988522,-1
0,1,-1,0.6954137762,-1
0.1521695931,1,-1,0.2442730438,-1
0.1700448863,1,-1,0.3205382696,-1
0.6151322455,1,-1,0.2868551549,-1
0.1021064492,1,0,0.3205382696,-1
0.2845532507,1,-1,0.1915173753,-1
0.393271546,1,-1,0.1287664937,-1
0.5655992623,1,1,1,-1
0.0503931399,1,-1,0.1651607886,-1
1,1,-1,1,-1
0.0832709201,1,-1,0.343366078,-1
0.1125087587,-1,-1,0.1507355168,-1
0.1049111902,1,-1,0.3902151609,-1
1,1,-1,1,-1
0.1426790288,0,0,0.1344242155,-1
0.8950991552,1,1,1,1
0.5473896515,1,1,1,1
1,0,1,0.3839495589,1
0.6782001235,0,1,0.635971419,1
1,1,1,1,1
1,1,1,1,1
0.5588877375,1,1,0.8309723546,1
1,1,1,1,1
1,1,1,1,1
0.8077209238,1,1,1,1
1,1,1,1,1
0.9778108157,0,1,0.6100937628,1
0.1092086485,0,-1,0.149985282,1
1,1,1,1,1
1,1,1,1,1
0.8514768661,1,1,1,1
0.1049111902,1,1,0.7181839816,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0.7802479264,1,-1,0.6706361767,1
0.3518977868,1,1,1,1
0.33217291,1,1,1,1
1,1,1,1,1
0.5046226111,1,1,1,1
0.5289179332,1,1,1,1
1,1,1,1,1
1,1,1,0.5425792234,1
1,1,1,1,1
1,1,1,1,1
0.616357497,-1,0,0.9219883558,1
1,1,1,1,1
0.8945019512,1,1,0.8480197103,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0.9428528193,1,-1,1,1
0,1,1,1,1
0.4650058803,1,1,1,1
0.1049111902,1,1,1,1
0.6965416759,1,1,1,1
0.3142326923,1,-1,1,1
1,1,1,1,1
1,-1,-1,0.8145128892,1
0.976312591,1,1,0.8723475088,1
0.5887161159,1,1,1,1
0.3634982003,0,0,0.0349056372,1
1,1,1,0.4326444296,1
0,1,1,0.9332121252,1
0.4532314704,1,1,1,1
1,1,1,0.5193208179,1
1,1,1,1,1
0.7559009869,1,1,0.7832102048,1
0.976312591,1,1,0.8366727152,1
1,1,1,1,1
1,1,1,1,1
0.4038293862,1,1,1,1
0.6122179777,1,1,0.6838364797,1
1,1,-1,1,1
1,1,1,1,1
1,1,0,1,1
1,1,1,0.9545217528,1
1,1,0,1,1
1,1,1,1,1
0.2660864337,1,1,1,1
1,1,1,1,1
0.1448646891,1,1,0.6021328133,1
0,1,1,1,1
1,1,1,1,1
1,1,1,0.8650263899,1
0.6269125339,1,1,1,1
0.7685247731,1,1,1,1
1,1,1,1,1
0.499988786,0,1,0.880565179,1
0.1297589812,1,1,1,1
0.9751954472,0,1,1,1
1,1,1,1,1
0.4930811287,1,1,1,1
0.7747422811,0,1,0.8650263899,1
1,1,1,1,1
0,1,1,1,1
0.6595362464,1,1,1,1
1,1,1,1,1
0.4971013241,1,1,1,1
0.2692511512,1,1,1,1
1,1,1,1,1
1,0,-1,0.7274548545,1
0.7376713232,1,0,1,1
