_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number,label
6,6,1522,katsuya,90028,6300 hollywood blvd,3238718777,katsuya hollywood,90028,6300 hollywood blvd,3233912757,1
9,9,1850,yang chow,90012,819 n broadway,2136250811,yang chow,90012,819 n broadway,2136250811,1
18,18,1651,hae jang chon korean bbq restaurant,90020,3821 w 6th st,2133898777,gaam restaurant and lounge,90020,3465 w 6th st,2133888850,-1
28,24,1358,si laa thai,90035,1128 s robertson blvd,3108587738,si laa,90035,1128 s robertson blvd,3108587738,1
30,28,1828,kang hodong baekjeong,90020,3465 w 6th st,2133849678,kang ho dong baekjeong,90020,3465 w 6th st,2133849678,1
45,43,1810,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700,triple 8 china bar & grill,90015,800 w olympic blvd,2137473700,1
49,43,3504,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700,el criollo bar & grill,91506,916 w burbank blvd,8182600211,-1
50,46,1792,thai patio,90027,5273 hollywood blvd,3234663894,thai patio,90027,5273 hollywood blvd,3234663894,1
52,48,692,kogi bbq taco truck,,,7146974683,kogi bbq truck,91604,valleyheart dr at lankershim blvd,,1
67,53,4504,toi on sunset,90046,7505 1/2 w sunset blvd,3238748062,sam's on sunset,90046,7864 w sunset blvd,3238507267,-1
83,74,2210,kula revolving sushi bar,90012,333 e 2nd st,2132909631,zencu sushi & grill,90012,319 e 2nd st,2136877780,-1
84,74,2386,kula revolving sushi bar,90012,333 e 2nd st,2132909631,kula revolving sushi bar,90012,333 e 2nd st,2132909631,1
103,91,1757,hollywood thai restaurant,90027,5241 hollywood blvd,3234670926,boran thai restaurant,90027,5401 hollywood blvd,3234698883,-1
114,102,2332,sushi enya,90012,343 e 1st st,,tamon sushi,90012,328 e 1st st,2136177839,-1
117,109,1848,blossom restaurant,90013,426 s main st,2136231973,blossom restaurant,90013,426 s main st,2136231973,1
138,137,2156,curry house,,123 astronaut e s onizuka st,2136877344,korea bbq house,90012,123 s onizuka st,2136801826,-1
