_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number,label
23,21,2075,chosun galbee restaurant,90019,3330 w olympic blvd,3237343330,chosun galbee,90019,3330 w olympic blvd,3237343330,1
25,22,2381,jitlada restaurant,90027,5233 1/2 w sunset blvd,3236679809,ocha classic restaurant,90027,5189 w sunset blvd,3236633901,-1
32,30,2123,wokcano - downtown la,90017,800 w 7th st,2136232288,the counter downtown la,90017,725 w 7th st,2132287800,-1
33,31,1644,marugame monzo,,"329 e. 1st , los angeles, california 90012",2133469762,marugame monzo,90012,329 e 1st st,2133469762,1
46,43,2541,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700,rainbow bar & grill,90069,9015 w sunset blvd,3102784232,-1
65,53,1248,toi on sunset,90046,7505 1/2 w sunset blvd,3238748062,bossa nova on sunset,90046,7181 w sunset blvd,3234367999,-1
69,54,2304,tsujita la,90025,2057 sawtelle blvd,3102310222,tsujita la artisan noodle annex,90025,2050 sawtelle blvd,3102310222,-1
78,67,2143,cho oishi,90028,6801 hollywood blvd,3234640500,cho oishi,90028,6801 hollywood blvd,3234640500,1
87,75,1816,hoy-ka thai noodle house,90028,5908 w sunset blvd,3234632979,hoy-ka thai noodles,90028,5908 sunset blvd,3236883558,1
111,102,1372,sushi enya,90012,343 e 1st st,,sushi enya,90012,343 e 1st st,2136263692,1
129,123,1710,sushi zo,90034,9824 national blvd,3108423977,sushi zo,90034,9824 national blvd,4242015576,1
143,144,2255,shu - sushi house unico,90077,2932 1/2 beverly glen circle,3104742740,shu sushi house unico,90077,2932 1/2 beverly glen circle,3104742740,1
217,210,2132,tawanna thai,90048,6236 wilshire blvd.,3239392450,tawanna thai,90048,6236 wilshire blvd,3239392450,1
223,216,1504,red corner asia,90027,5267 hollywood blvd,3234666722,red corner asia,90027,5267 hollywood blvd,3234666722,1
286,278,2108,hodori restaurant,90006,1001 s vermont ave ste 102,2133833554,a-won japanese restaurant,90006,913 s vermont ave,2133896764,-1
294,292,1997,meizhou dongpo,,santa monica blvd,3107880120,meizhou dongpo restaurant,90067,10250 santa monica blvd,3107880120,1
339,336,4489,formosa cafe,90046,7156 santa monica blvd,3238509050,vinadore studio & cafe,90046,8157 santa monica blvd,3237984628,-1
379,394,1836,o dae san korean bbq restaurant,90006,2889 w olympic blvd,2133839800,beverly soon tofu restaurant,90006,2717 w olympic blvd,2133801113,-1
382,394,2022,o dae san korean bbq restaurant,90006,2889 w olympic blvd,2133839800,bak kung korean bbq,90019,3700 w olympic blvd,3237349292,-1
412,433,2361,jung won paik noodle house,90006,2716 w olympic blvd,2133870410,miari noodle house,90006,3224 w olympic blvd,3237350647,-1
419,444,1877,thai town noodle,90027,5136 hollywood blvd,3236670934,pho thai town,90027,5136 hollywood blvd,3236670934,1
425,467,2149,asahi ramen,90025,2027 sawtelle blvd,3104792231,asahi ramen,90025,2027 sawtelle blvd,3104792231,1
427,470,2681,bistro ka japanese restaurant,,6600 topanga canyon blvd unit 2010a,8183401300,caprese restaurant,91311,9777 topanga canyon blvd 2,8187097054,-1
476,550,3817,mogo's restaurant,91403,4454 van nuys blvd ste k,8187836646,la fogata mexican restaurant,91403,5142 van nuys blvd,8185019065,-1
520,629,3179,ok chinese restaurant,91405,7400 van nuys blvd,8189885622,chit chat restaurant cafe lounge,91405,7115 van nuys blvd,8187862424,-1
548,706,4098,the griddle cafe,90046,7916 w sunset blvd,3238740377,elderberries threefold cafe,90046,7564 w sunset blvd,3238510700,-1
561,723,4052,the pie hole,90013,714 traction ave,2135370115,the pie hole,90013,714 traction ave,2135370115,1
563,726,4539,getty center restaurant,90049,1200 getty center dr,3104406810,the restaurant at the getty center,90049,1200 getty center dr,3104406810,1
583,751,2894,rainbow bar & grill,90069,9015 w sunset blvd,3102784232,obica mozzarella bar pizza e cucina,90069,8630 w sunset blvd,3103605983,-1
598,776,678,johnny rockets hollywood & highland,90028,6801 hollywood blvd ste 325,,baja hollywood,90028,6801 hollywood blvd,3234640935,-1
601,779,1304,wolfgang puck at hotel bel-air,90077,701 stone canyon road,3109091644,wolfgang puck at hotel bel-air,90077,701 stone canyon rd,3104721211,1
656,861,1152,the standard downtown restaurant & lounge,90071,550 s flower st,2138928080,"the restaurant at the standard, downtown la",90071,550 s flower st,2138928080,1
661,869,1039,the morrison,90039,3179 los feliz blvd,3236671839,the morrison,90039,3179 los feliz blvd,3236671839,1
692,918,2312,la prime at the westin bonaventure hotel,90071,404 s figueroa st,2136124743,la prime,90071,404 s figueroa st,2136124743,1
706,941,1168,fords filling station,90015,900 w olympic blvd,2137658630,ford's filling station,90015,900 west olympic blvd,2137658600,1
721,957,2308,sage organic vegan,90026,1700 w sunset blvd,2139891718,flore vegan cuisine,90026,3818 w sunset blvd,3239530611,-1
735,973,4075,larchmont bungalow,90004,107 n larchmont blvd,3234611528,le pain quotidien - larchmont,90004,113 n larchmont blvd,3234617701,-1
741,984,4585,la cafe,90014,639 s spring st,2136123000,manuel cafe,90014,808 s spring st,,-1
