_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number
6,6,1523,Katsuya,90028.0,6300 Hollywood Blvd,3238718777.0,Katsuya Hollywood,90028.0,6300 Hollywood Blvd,3233912757.0
9,9,1851,Yang Chow,90012.0,819 N Broadway,2136250811.0,Yang Chow,90012.0,819 N Broadway,2136250811.0
18,18,1652,Hae Jang Chon Korean BBQ Restaurant,90020.0,3821 W 6th St,2133898777.0,Gaam Restaurant and Lounge,90020.0,3465 W 6th St,2133888850.0
23,21,2076,Chosun Galbee Restaurant,90019.0,3330 W Olympic Blvd,3237343330.0,Chosun Galbee,90019.0,3330 W Olympic Blvd,3237343330.0
25,22,2382,Jitlada Restaurant,90027.0,5233 1/2 W Sunset Blvd,3236679809.0,Ocha Classic Restaurant,90027.0,5189 W Sunset Blvd,3236633901.0
28,24,1359,Si Laa Thai,90035.0,1128 S Robertson Blvd,3108587738.0,Si Laa,90035.0,1128 S Robertson Blvd,3108587738.0
30,28,1829,Kang Hodong Baekjeong,90020.0,3465 W 6th St,2133849678.0,Kang Ho Dong Baekjeong,90020.0,3465 W 6th St,2133849678.0
32,30,2124,Wokcano - Downtown LA,90017.0,800 W 7th St,2136232288.0,The Counter Downtown LA,90017.0,725 W 7th St,2132287800.0
33,31,1645,Marugame Monzo,,"329 E. 1st , Los Angeles, California 90012",2133469762.0,Marugame Monzo,90012.0,329 E 1st St,2133469762.0
45,43,1811,TRIPLE 8 China Bar & Grill,,800 W Olympic Blvd Ste A120,2137473700.0,Triple 8 China Bar & Grill,90015.0,800 W Olympic Blvd,2137473700.0
46,43,2542,TRIPLE 8 China Bar & Grill,,800 W Olympic Blvd Ste A120,2137473700.0,Rainbow Bar & Grill,90069.0,9015 W Sunset Blvd,3102784232.0
49,43,3505,TRIPLE 8 China Bar & Grill,,800 W Olympic Blvd Ste A120,2137473700.0,El Criollo Bar & Grill,91506.0,916 W Burbank Blvd,8182600211.0
50,46,1793,Thai Patio,90027.0,5273 Hollywood Blvd,3234663894.0,Thai Patio,90027.0,5273 Hollywood Blvd,3234663894.0
52,48,692,Kogi BBQ Taco Truck,,,7146974683.0,Kogi BBQ Truck,91604.0,Valleyheart Dr at Lankershim Blvd,
65,53,1249,Toi on Sunset,90046.0,7505 1/2 W Sunset Blvd,3238748062.0,Bossa Nova on Sunset,90046.0,7181 W Sunset Blvd,3234367999.0
