_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number,label
18,18,1652,Hae Jang Chon Korean BBQ Restaurant,90020,3821 W 6th St,2133898777,Gaam Restaurant and Lounge,90020,3465 W 6th St,2133888850,0
25,22,2382,Jitlada Restaurant,90027,5233 1/2 W Sunset Blvd,3236679809,Ocha Classic Restaurant,90027,5189 W Sunset Blvd,3236633901,0
32,30,2124,Wokcano - Downtown LA,90017,800 W 7th St,2136232288,The Counter Downtown LA,90017,725 W 7th St,2132287800,0
65,53,1249,Toi on Sunset,90046,7505 1/2 W Sunset Blvd,3238748062,Bossa Nova on Sunset,90046,7181 W Sunset Blvd,3234367999,0
67,53,4505,Toi on Sunset,90046,7505 1/2 W Sunset Blvd,3238748062,Sam’s on Sunset,90046,7864 W Sunset Blvd,3238507267,0
114,102,2333,Sushi Enya,90012,343 E 1st St,,Tamon Sushi,90012,328 E 1st St,2136177839,0
140,140,2138,Star Noodle Express,90045,5310 W Century Blvd,3103381337,Buffet Express,90045,5959 W Century Blvd,3106706575,0
160,159,2436,Far Bar,90012,347 E 1st St,2136179990,My Ramen Bar,90012,321 1/4 E 1st St,2136139888,0
191,190,2102,Melanee Thai,90035,9562 W Pico Blvd,3102734066,Tuk Tuk Thai,90035,8875 W Pico Blvd,3108601872,0
212,207,4475,Escala Restaurant and Bar,90020,3451 W 6th St,2133871113,Pharos Bar & Cafe,90020,2999 W 6th St,2137387370,0
247,236,145,Nanban-kan Restaurant,90025,11330 Santa Monica Blvd,3104781591,Juquila Restaurant,90025,11619 Santa Monica Blvd,3103121079,0
286,278,2109,Hodori Restaurant,90006,1001 S Vermont Ave Ste 102,2133833554,A-Won Japanese Restaurant,90006,913 S Vermont Ave,2133896764,0
339,336,4490,Formosa Cafe,90046,7156 Santa Monica Blvd,3238509050,Vinadore Studio & Cafe,90046,8157 Santa Monica Blvd,3237984628,0
361,382,1647,Zencu Sushi and Grill,90012,319 E 2nd St Ste 206,2136877780,Hama Sushi,90012,347 E 2nd St,2136803454,0
374,392,1610,Mayflower Seafood Restaurant,90012,679 N Spring St,2136280116,Full House Seafood Restaurant,90012,963 N Hill St,2136178382,0
382,394,2023,O Dae San Korean BBQ Restaurant,90006,2889 W Olympic Blvd,2133839800,Bak Kung Korean BBQ,90019,3700 W Olympic Blvd,3237349292,0
402,412,1859,Man Soo Korean BBQ,90005,3423 W 8th St # 3429,2133889494,Oo-Kook Korean BBQ,90005,3385 W 8th St,2133855665,0
