_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number,label
46,43,2542,TRIPLE 8 China Bar & Grill,,800 W Olympic Blvd Ste A120,2137473700,Rainbow Bar & Grill,90069,9015 W Sunset Blvd,3102784232,0
49,43,3505,TRIPLE 8 China Bar & Grill,,800 W Olympic Blvd Ste A120,2137473700,El Criollo Bar & Grill,91506,916 W Burbank Blvd,8182600211,0
83,74,2211,Kula Revolving Sushi Bar,90012,333 E 2nd St,2132909631,Zencu Sushi & Grill,90012,319 E 2nd St,2136877780,0
103,91,1758,Hollywood Thai Restaurant,90027,5241 Hollywood Blvd,3234670926,Boran Thai Restaurant,90027,5401 Hollywood Blvd,3234698883,0
138,137,2157,Curry House,,123 Astronaut E S Onizuka St,2136877344,Korea BBQ House,90012,123 S Onizuka St,2136801826,0
204,205,2100,Kiku Sushi,90004,246 N Larchmont Blvd,3234641323,Kiku Sushi,90004,246 N Larchmont Blvd,3234641323,0
215,209,2238,Eight Korean BBQ,90005,863 S Western Ave,2133651750,Ssam Korean BBQ,90006,1040 S Western Ave,3237379292,0
231,217,1732,Mae Ploy Restaurant,90026,2606 W Sunset Blvd,2133539635,Sib Song Thai Restaurant,90026,2202 W Sunset Blvd,2134136316,0
313,316,1832,Pho Cafe,,2841 W Sunset Blvd,2134130888,Pho Cafe,90026,2841 W Sunset Blvd,2134130888,0
343,344,2245,Dan Sungsa,90020,3317 W 6th St,2134879100,Sun Nong Dan,90020,3470 W 6th St,2133650303,0
379,394,1837,O Dae San Korean BBQ Restaurant,90006,2889 W Olympic Blvd,2133839800,Beverly Soon Tofu Restaurant,90006,2717 W Olympic Blvd,2133801113,0
412,433,2362,Jung Won Paik Noodle House,90006,2716 W Olympic Blvd,2133870410,Miari Noodle House,90006,3224 W Olympic Blvd,3237350647,0
528,639,2169,China Food Express Restaurant,90005,3320 W 8th St,2133803810,Naegohyang Restaurant,90005,3516 W 8th St,2133810022,0
537,658,191,Best Chinese Restaurant,90025,12239 Santa Monica Blvd,,Monte Alban Restaurant,90025,11929 Santa Monica Blvd,3104447736,0
665,880,481,Phil s Deli & Grill,90036,6333 W Third St.,3239363704,Loteria Grill,90036,6333 W 3rd St,3239302211,0
721,957,2309,Sage Organic Vegan,90026,1700 W Sunset Blvd,2139891718,Flore Vegan Cuisine,90026,3818 W Sunset Blvd,3239530611,0
749,996,1699,Norms Restaurant,90064,11001 W Pico Blvd,3104792978,Cheng Du Restaurant,90064,11538 W Pico Blvd,3104774917,0
831,1151,1491,Cana Rum Bar,90015,714 W Olympic Blvd,2137457090,Wolfgang Puck Bar & Grill,90015,800 W Olympic Blvd,2137489700,0
837,1156,2787,The Park,90026,1400 W Sunset Blvd,2134829209,Two Boots Echo Park,90026,1818 W Sunset Blvd,2134132668,0
872,1214,4579,Happy Ending Bar,90028,7038 W Sunset Blvd,3234697038,Cafe Bar,90028,6360 W Sunset Blvd,3234641524,0
897,1261,170,El Siete Mares,90026,3131 W Sunset Blvd,3236650865,La Playita Siete Mares,90026,3143 W Sunset Blvd,3236644604,0
907,1268,4579,Catalina Bar & Grill,90028,6725 W Sunset Blvd,3234662210,Cafe Bar,90028,6360 W Sunset Blvd,3234641524,0
913,1278,4450,Eatz Cafe,90039,3207 Los Feliz Blvd,3236612355,Mimi’s Cafe,90039,2925 Los Feliz Blvd,3236681715,0
1006,1455,1370,Little Bar,90036,757 S La Brea Ave,3239379210,Bludso’s Bar & Que,90036,609 N La Brea Ave,3239312583,0
1040,1546,3818,Corky's Restaurant & Bar,91403,5043 Van Nuys Blvd,8187885110,La Fogata Mexican Restaurant,91403,5142 Van Nuys Blvd,8185019065,0
1053,1576,1444,Vermont Restaurant and Bar,90027,1714 N Vermont Ave,3236616163,Il Capriccio on Vermont,90027,1757 N Vermont Ave,3236625900,0
1073,1657,4460,Cafe Vogue,90048,100 North La Cienega Blvd,3106578778,Black Swan Cafe,90048,440 N La Cienega Blvd,3109098459,0
1076,1662,4287,Elaine's Bakery & Cafe,90049,11677 San Vicente Blvd Ste 317,3104422233,Market at M Cafe,90049,11678 San Vicente Blvd,3102071122,0
1231,1805,42,Tacos El Gavilan,,7070 W Sunset Blvd,,El Paisano,90026,1185 W Sunset Blvd,,0
1239,1805,491,Tacos El Gavilan,,7070 W Sunset Blvd,,Tacos Como En El D.F. Taco Truck,90018,2431 W Washington Blvd,3109484714,0
1244,1805,841,Tacos El Gavilan,,7070 W Sunset Blvd,,Tacos El Gallito Truck,90015,917 W Olympic Blvd,,0
1287,1853,310,El Comal,90029,5465 Santa Monica Blvd,3239621706,El Unico Pollo Taquero,90029,4481 Santa Monica Blvd,3239068429,0
1322,1902,3645,Sandra's & Lolita's Tamales,90022,5390 Whittier Blvd,3237222961,Lolita’s Tamales,90022,6050 Whittier Blvd,3237244222,0
1399,2005,48,Tacos El Compita,,4477 W Pico Blvd,,El Grullense Restaurant,90006,2274 W Pico Blvd,2134879540,0
1406,2005,491,Tacos El Compita,,4477 W Pico Blvd,,Tacos Como En El D.F. Taco Truck,90018,2431 W Washington Blvd,3109484714,0
1474,2073,46,La Canada Taqueria,90019,3131 W Pico Blvd,3237333401,La Cocinita,90019,4379 W Pico Blvd,3239371249,0
1496,2093,565,Taqueria La Que Si Llena,90063,3630 E Cesar E Chavez Ave,3232611864,La Blanquita Carniceria,90063,4136 E Cesar E Chavez Ave,3232650020,0
1501,2096,189,El Atacor No 6,90026,1378 W Sunset Blvd,2134817579,El Compadre,90026,1449 W Sunset Blvd,2132504505,0
1560,2147,544,Tacos El Korita,,E Olympic Blvd and Herbert Ave,,Tacos El Capitan,90023,3750 E Olympic Blvd,,0
1567,2150,2164,Golfo De Fonseca Restaurant,91331,9761 Laurel Canyon Blvd,8188349492,Cocohut Thai Restaurant,91331,10690 Laurel Canyon Blvd,8183026145,0
1568,2152,767,Antojitos Carmen Restaurant,90033,2510 E Cesar E Chavez Ave,3232641451,Las Flautas Restaurant,90033,2715 E Cesar E Chavez Ave,3232635215,0
1597,2207,969,Tacos Y Burritos El Texano,90033,2308 E 4th St,3235471831,Tacos De Los Primos,90033,1908 E 4th St,3234707315,0
1611,2222,4356,San Vicente Cafe,90048,6310 San Vicente Blvd,3239395055,Le Pain Quotidien - San Vicente,90049,13050 San Vicente Blvd,3103938185,0
1626,2240,1553,Amanecer Salvadoreno,90005,3059 West 8th Street,2133822591,El Amanecer Salvadoreno,90005,3059 W 8th St,2133822591,0
1662,2300,2248,The Ramen Joint,90045,6220 W 87th Street,4242279328,The Ramen Joint,90045,6220 W 87th St,4242279328,0
1726,2424,158,Yoshinoya Beef Bowl Restaurant,90007,2215 S Vermont Ave,3237321516,La Barca Restaurant,90007,2414 S Vermont Ave,3237356567,0
