_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number,label
6,6,1522,katsuya,90028,6300 hollywood blvd,3238718777,katsuya hollywood,90028,6300 hollywood blvd,3233912757,1
28,24,1358,si laa thai,90035,1128 s robertson blvd,3108587738,si laa,90035,1128 s robertson blvd,3108587738,1
45,43,1810,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700,triple 8 china bar & grill,90015,800 w olympic blvd,2137473700,1
50,46,1792,thai patio,90027,5273 hollywood blvd,3234663894,thai patio,90027,5273 hollywood blvd,3234663894,1
83,74,2210,kula revolving sushi bar,90012,333 e 2nd st,2132909631,zencu sushi & grill,90012,319 e 2nd st,2136877780,-1
84,74,2386,kula revolving sushi bar,90012,333 e 2nd st,2132909631,kula revolving sushi bar,90012,333 e 2nd st,2132909631,1
114,102,2332,sushi enya,90012,343 e 1st st,,tamon sushi,90012,328 e 1st st,2136177839,-1
148,151,1650,gyu-kaku japanese bbq dining,90064,10925 w pico blvd,3102348641,gyu-kaku japanese bbq,90064,10925 w pico blvd,3102348641,1
159,159,1352,far bar,90012,347 e 1st st,2136179990,far bar,90012,347 e 1st st,2136179990,1
160,159,2435,far bar,90012,347 e 1st st,2136179990,my ramen bar,90012,321 1/4 e 1st st,2136139888,-1
191,190,2101,melanee thai,90035,9562 w pico blvd,3102734066,tuk tuk thai,90035,8875 w pico blvd,3108601872,-1
204,205,2099,kiku sushi,90004,246 n larchmont blvd,3234641323,kiku sushi,90004,246 n larchmont blvd,3234641323,1
212,207,4474,escala restaurant and bar,90020,3451 w 6th st,2133871113,pharos bar & cafe,90020,2999 w 6th st,2137387370,-1
215,209,2237,eight korean bbq,90005,863 s western ave,2133651750,ssam korean bbq,90006,1040 s western ave,3237379292,-1
231,217,1731,mae ploy restaurant,90026,2606 w sunset blvd,2133539635,sib song thai restaurant,90026,2202 w sunset blvd,2134136316,-1
