_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number,label
9,9,1850,yang chow,90012,819 n broadway,2136250811,yang chow,90012,819 n broadway,2136250811,1
18,18,1651,hae jang chon korean bbq restaurant,90020,3821 w 6th st,2133898777,gaam restaurant and lounge,90020,3465 w 6th st,2133888850,-1
30,28,1828,kang hodong baekjeong,90020,3465 w 6th st,2133849678,kang ho dong baekjeong,90020,3465 w 6th st,2133849678,1
49,43,3504,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700,el criollo bar & grill,91506,916 w burbank blvd,8182600211,-1
52,48,692,kogi bbq taco truck,,,7146974683,kogi bbq truck,91604,valleyheart dr at lankershim blvd,,1
67,53,4504,toi on sunset,90046,7505 1/2 w sunset blvd,3238748062,sam's on sunset,90046,7864 w sunset blvd,3238507267,-1
103,91,1757,hollywood thai restaurant,90027,5241 hollywood blvd,3234670926,boran thai restaurant,90027,5401 hollywood blvd,3234698883,-1
117,109,1848,blossom restaurant,90013,426 s main st,2136231973,blossom restaurant,90013,426 s main st,2136231973,1
138,137,2156,curry house,,123 astronaut e s onizuka st,2136877344,korea bbq house,90012,123 s onizuka st,2136801826,-1
140,140,2137,star noodle express,90045,5310 w century blvd,3103381337,buffet express,90045,5959 w century blvd,3106706575,-1
147,150,1699,it's pho hollywood,90028,1821 n cahuenga blvd,3233807998,it's pho,90028,1821 n cahuenga blvd,3233807998,1
164,162,2412,daichan,91604,11288 ventura blvd,8189808450,daichan,91604,11288 ventura blvd,8189808450,1
190,190,1930,melanee thai,90035,9562 w pico blvd,3102734066,melanee thai,90035,9562 w pico blvd,3102734066,1
247,236,145,nanban-kan restaurant,90025,11330 santa monica blvd,3104781591,juquila restaurant,90025,11619 santa monica blvd,3103121079,-1
268,254,1817,yuko kitchen,90036,5484 wilshire blvd,3239334020,yuko kitchen,90036,5484 wilshire blvd,3239334020,1
276,267,2283,toshi sushi,90012,359 e 1st st,2136804166,toshi sushi,90012,359 e 1st st,2136804166,1
306,312,1764,ramayani westwood,90024,1777 westwood blvd,3104773315,ramayani,90024,1777 westwood blvd,3104773315,1
313,316,1831,pho cafe,,2841 w sunset blvd,2134130888,pho cafe,90026,2841 w sunset blvd,2134130888,1
360,380,2334,first szechuan wok,90024,10855 lindbrook dr,3102087785,first szechuan wok,90024,10855 lindbrook dr,3102087785,1
402,412,1858,man soo korean bbq,90005,3423 w 8th st # 3429,2133889494,oo-kook korean bbq,90005,3385 w 8th st,2133855665,-1
429,482,2058,house of macau,90028,1600 vine street,3237455038,house of macau,90028,1600 vine st,3237455038,1
459,510,2292,golden city restaurant,90012,960 n hill st,2132532660,foo chow restaurant,90012,949 n hill st,2134851294,-1
472,545,1910,chuan chim restaurant,90028,5644 hollywood blvd,3234626221,chuan chim,90028,5644 hollywood blvd,3234626221,1
499,595,2049,vip chinese restaurant,90005,705 s western ave,2133898532,lemon tree kids and family restaurant,90005,621 s western ave,2133800038,-1
500,595,2384,vip chinese restaurant,90005,705 s western ave,2133898532,e-moon oak restaurant,90005,869 s western ave,2133878899,-1
528,639,2168,china food express restaurant,90005,3320 w 8th st,2133803810,naegohyang restaurant,90005,3516 w 8th st,2133810022,-1
550,707,1099,water grill,90071,544 s grand ave,2138910900,water grill,90071,544 s grand ave,2138910900,1
568,730,2556,toast bakery cafe,90048,8221 w 3rd st,3236555018,berri's cafe,90048,8412 w 3rd st,3238520642,-1
580,750,1037,nickel diner,90013,524 s main st,2136238301,nickel diner,90013,524 s main st,2136238301,1
609,786,1192,tiago coffee bar & kitchen,90028,7080 hollywood blvd,3234665600,public kitchen and bar,90028,7000 hollywood blvd,3237698888,-1
625,807,1008,the little beast,90041,1496 colorado blvd,3233415899,little beast restaurant,90041,1496 colorado blvd,3233415899,1
633,831,1412,tavern,90049,11648 san vincente blvd,3108066464,tavern,90049,11648 san vicente blvd,3108066464,1
640,838,1104,fat sal's,90028,1300 n highland ave,8556824373,fat sal's,90028,1300 n highland ave,8556824373,1
641,838,2814,fat sal's,90028,1300 n highland ave,8556824373,fat tomato pizza,90028,1429 n highland ave,3239628833,-1
651,855,4149,the coffee co.,90045,8751 la tijera blvd,3106457315,the coffee co,90045,8751 la tijera blvd,3106457315,1
665,880,481,phil s deli & grill,90036,6333 w third st.,3239363704,loteria grill,90036,6333 w 3rd st,3239302211,-1
719,956,992,palomino - los angeles,90024,10877 wilshire blvd ste 150,3102081960,palomino,90024,10877 wilshire blvd,3102081960,1
731,971,1565,sweetie pie's,91601,5230 lankershim blvd,8187611325,sweetie pie's noho,91601,5230 lankershim blvd,8187611325,1
745,993,2396,taylor's steakhouse,90005,3361 w 8th st,2133828449,taylor's steakhouse,90005,3361 w 8th st,2133828449,1
749,996,1698,norms restaurant,90064,11001 w pico blvd,3104792978,cheng du restaurant,90064,11538 w pico blvd,3104774917,-1
793,1067,1120,the park's finest,90026,1267 w temple st,2134182800,the park's finest,90026,1267 w temple st,2134812800,1
810,1099,1034,fundamental,90024,1303 westwood blvd,3104447581,fundamental la,90024,1303 westwood blvd,3104447581,1
831,1151,1490,cana rum bar,90015,714 w olympic blvd,2137457090,wolfgang puck bar & grill,90015,800 w olympic blvd,2137489700,-1
837,1156,2786,the park,90026,1400 w sunset blvd,2134829209,two boots echo park,90026,1818 w sunset blvd,2134132668,-1
842,1163,1540,spare tire kitchen & tavern,90036,5370 wilshire blvd,3235252618,spare tire,90036,5370 wilshire blvd,3235252618,1
846,1169,4296,the brentwood,90049,148 s barrington ave,3104763511,cafe brentwood,90049,150 s barrington ave,3104720766,-1
897,1261,170,el siete mares,90026,3131 w sunset blvd,3236650865,la playita siete mares,90026,3143 w sunset blvd,3236644604,-1
913,1278,4449,eatz cafe,90039,3207 los feliz blvd,3236612355,mimi's cafe,90039,2925 los feliz blvd,3236681715,-1
938,1317,250,taco fiesta,,4501 n figueroa st,3232235478,viva taco azteca,90042,5138 n figueroa st,8188630577,-1
950,1334,1389,billingsley's restaurant,90064,11326 w pico blvd,3104771426,gulp restaurant & brew pub,90064,10928 w pico blvd,3104740007,-1
971,1371,1021,mo better burger,90038,901 n la brea ave,,mo better burgers,90036,901 s la brea ave,3107378556,-1
974,1380,4449,mimi's cafe,90039,2925 los feliz blvd,3236681715,mimi's cafe,90039,2925 los feliz blvd,3236681715,1
1006,1455,1369,little bar,90036,757 s la brea ave,3239379210,bludso's bar & que,90036,609 n la brea ave,3239312583,-1
1007,1455,2434,little bar,90036,757 s la brea ave,3239379210,la brea ramen bar,90036,850 s la brea ave,3235499486,-1
1016,1491,4212,59th & lex cafe,,10250 santa monica blvd,3107727189,hudson lobby cafe,90038,6541 santa monica blvd,3233569969,-1
1017,1491,4228,59th & lex cafe,,10250 santa monica blvd,3107727189,cafe chez marie,90025,10681 santa monica blvd,3104752949,-1
1029,1518,445,good microbrew & grill,90026,3725 w sunset blvd,3236603645,rodeo mexican grill,90026,1721 w sunset blvd,2134838311,-1
1044,1552,1248,sunset grill hollywood,90046,7439 w sunset blvd,3238515557,bossa nova on sunset,90046,7181 w sunset blvd,3234367999,-1
1062,1617,2133,smith and cohen grill deli bar,90025,10351 santa monica blvd,3104324361,kotoya japanese ramen & bar,90025,11901 santa monica blvd,3104771199,-1
1105,1697,55,b.s. taqueria,90014,514 w 7th st,2136223744,bs taqueria,90014,514 w 7th st,2136223744,1
1123,1712,215,el cholo,90015,1037 s flower st,2137467750,el cholo,90015,1037 s flower st,2137467750,1
1124,1713,71,the velvet margarita,90028,1612 n cahuenga blvd,8774868353,velvet margarita,90028,1612 n cahuenga blvd,3234692000,1
1132,1719,50,yuca's,90027,2056 hillhurst ave,3236621214,yuca's,90027,2056 hillhurst ave,3236621214,1
1134,1722,3,taqueria los anaya,90016,4651 w adams blvd,3237314070,taqueria los anaya,90016,4651 w adams blvd,3237314070,1
1152,1740,280,tamayo,90022,5300 e. olympic blvd.,3232604700,tamayo restaurant,90022,5300 e olympic blvd,3232604700,1
1184,1772,350,clutch,90291,427 lincoln blvd,3103968749,clutch,90291,427 lincoln blvd,3103968749,1
1218,1795,229,diablo taco,90026,3129 w sunset blvd,3236664666,diablo,90026,3129 w sunset blvd,3236664666,-1
1230,1804,155,casita del campo,90027,1920 hyperion ave,3236624255,casita del campo,90027,1920 hyperion ave,3236624255,1
1250,1807,151,lupe's burritos,90022,4642 e 3rd st,3232666881,lupe's burritos,90022,4642 e 3rd st,3232666881,1
