shop name,postal code,phone number,star,price,number of reviews,street address
Sushi Gen,90012-4209,+1 213-617-0552,4.5,$$ - $$$,271,422 E 2nd St
SUGARFISH by sushi nozawa,90017-3842,+1 213-627-3000,4.5,$$ - $$$,280,600 W 7th St
RockSugar Pan Asian Kitchen,90067-6501,+1 310-552-9988,4.5,$$ - $$$,336,10250 Santa Monica Blvd
Blujam Cafe,90046-7526,+1 323-951-9191,4.5,$$ - $$$,202,7371 Melrose Ave
Nobu,90069-4709,+1 310-657-5711,4.5,$$$$,246,903 N La Cienega Blvd
Katsuya,90028,+1 323-871-8777,4.5,$$$$,400,6300 Hollywood Blvd
Yamashiro,90068-3782,+1 323-466-5125,4.0,$$$$,618,1999 N Sycamore Ave
Ayara Thai Cuisine,90045-3901,+1 310-410-8848,4.5,$$ - $$$,173,6245 W 87th St
Yang Chow,90012-2309,+1 213-625-0811,4.0,$$ - $$$,239,819 N Broadway
n/naka,90034-5419,+1 310-836-6252,5.0,$$$$,77,3455 Overland Ave
Daikokuya,90025,+1 310-575-4999,4.5,$,202,2208 Sawtelle Blvd
Tatsu Ramen,90025-6200,+1 310-684-2889,4.5,$$ - $$$,88,2123 Sawtelle Blvd
Genwa,90036-4366,+1 323-549-0760,4.5,$$ - $$$,134,5115 Wilshire Blvd Suite #A
Poke-Poke,,+1 424-228-5132,4.5,$,66,1827 Ocean Front Walk
WP24,,+1 213-743-8824,4.0,$$$$,235,"The Ritz-Carlton, 24th Floor"
Katsuya - LA Live,90015-1360,+1 213-747-9797,4.0,$$ - $$$,199,800 W Olympic Blvd
Komodo,,+1 310-246-5153,4.5,$,55,8809 W. Pico Blvd.
Hae Jang Chon Korean BBQ Restaurant,90020-3901,+1 213-389-8777,4.5,$$ - $$$,50,3821 W 6th St
Hinoki & the Bird,90067-3426,+1 310-552-1200,4.0,$$$$,147,10 W Century Dr
Sushi Katsu-ya,91604-2613,+1 818-985-6976,4.5,$$ - $$$,121,11680 Ventura Blvd
Chosun Galbee Restaurant,90019-2320,+1 323-734-3330,4.0,$$ - $$$,108,3330 W Olympic Blvd
Jitlada Restaurant,90027-5709,+1 323-667-9809,4.0,$$ - $$$,109,5233 1/2 W Sunset Blvd
BCD Tofu House,90010-2303,+1 213-382-6677,4.0,$$ - $$$,129,3575 Wilshire Blvd
Si Laa Thai,90035-1404,+1 310-858-7738,5.0,$$ - $$$,48,1128 S Robertson Blvd
Panda Express,90028-8521,+1 323-460-6430,4.5,$,49,5543 W Sunset Blvd
Iroha,91604-2235,+1 818-990-9559,4.5,$$ - $$$,64,12953 Ventura Blvd
Chaya Downtown,90071,+1 213-236-9577,4.5,$$ - $$$,102,525 S. Flower Street
Kang Hodong Baekjeong,90020-2567,+1 213-384-9678,4.5,$$ - $$$,73,3465 W 6th St
Chiba Restaurant,91605-2833,+1 818-765-9119,4.5,$$ - $$$,50,11713 Saticoy St
Wokcano - Downtown LA,90017-3404,+1 213-623-2288,4.0,$$ - $$$,109,800 W 7th St
Marugame Monzo,,+1 213-346-9762,4.5,$$ - $$$,40,"329 E. 1st , Los Angeles, California 90012"
Pine & Crane,90026-1049,+1 323-668-1128,4.5,$$ - $$$,41,1521 Griffith Park Blvd
Soowon Galbi,90005-1568,+1 213-365-9292,4.5,$$ - $$$,53,856 S Vermont Ave
BadmaashLA,90012-1586,+1 213-221-7466,4.0,$$ - $$$,61,108 W 2nd St
Little Sister,90014-2501,+1 213-628-3146,4.5,$$ - $$$,31,523 W 7th St
Luv2Eat Thai Bistro,90028-7178,+1 323-498-5835,4.5,$,38,6660 W Sunset Blvd
Pink Pepper,90028-6907,+1 323-461-2462,4.5,$$ - $$$,65,1638 N La Brea Ave
Oomasa,,+1 213-623-9048,4.5,$$ - $$$,76,100 Alameda street
Asanebo,91604-2607,+1 818-760-3348,4.5,$$$$,65,11941 Ventura Blvd
Shin-Sen-Gumi LA,90013,+1 213-687-7108,4.5,$$ - $$$,42,132 S Central Ave
Roy's - Woodland Hills,91367,+1 818-888-4801,4.5,$$$$,107,6363 Topanga Canyon Rd.
mao's kitchen,90291-3612,+1 310-581-8305,4.0,$,138,1512 Pacific Ave
TRIPLE 8 China Bar & Grill,,+1 213-747-3700,4.0,$$ - $$$,59,800 W Olympic Blvd Ste A120
Takami Sushi and Robata,90017-2606,+1 213-236-9600,4.0,$$ - $$$,148,811 Wilshire Blvd
Restaurant Hama,90291-3764,+1 310-396-8783,4.5,$$ - $$$,69,213 Windward Ave
Thai Patio,90027,+1 323-466-3894,4.0,$,82,5273 Hollywood Boulevard
izaka-ya by katsuya,90048,+1 323-782-9536,4.5,$$ - $$$,97,8420 w. 3rd st
Kogi BBQ Taco Truck,,+1 714-697-4683,4.5,$,80,
Blue Ribbon Sushi Bar & Grill,90036-6222,+1 323-352-9300,4.5,$$ - $$$,30,189 The Grove Dr
Silver Lake Ramen,90026-2127,+1 323-660-8100,4.5,$,36,2927 W Sunset Blvd
Pa Ord Noodles,90027-5694,,4.5,$,43,5301 W Sunset Blvd
Pot Commissary Cafe,,+1 213-368-3030,4.0,$$ - $$$,106,3515 Wilshire Blvd
Toi on Sunset,90046-3407,+1 323-874-8062,4.0,$$ - $$$,109,7505 1/2 W Sunset Blvd
Tsujita LA,90025-6229,310-231-0222,4.0,$$ - $$$,103,2057 Sawtelle Blvd
Quarters,90020-2567,+1 213-365-8111,4.0,$$ - $$$,36,3465 W 6th St
Shintaro,90068,+1 323-882-6524,4.0,$$ - $$$,70,1900 N Highland Ave Ste 5
Siamese Garden,90292-5129,+1 310-821-0098,4.0,$$ - $$$,50,301 Washington Blvd
Vegan House in Hollywood,,3239626195,4.5,$,33,1717 N. Wilcox Ave.
Kanpai Sushi Bar and Grill,90045,+1 310-338-7223,4.5,$$ - $$$,88,8325 Lincoln Blvd
Au Lac Dtla,90012-2442,+1 213-617-2533,4.5,$$ - $$$,34,710 W 1st St
Kagura Downtown,90012-3908,+1 213-680-9686,4.5,$$ - $$$,36,137 Japanese Village Plaza Mall
Ramen Jinya,91604-3163,+1 818-980-3977,4.5,$$ - $$$,44,11239 Ventura Blvd
Kino Sushi,,3234654567,4.0,$$ - $$$,69,"6721 Hollywood Blvd, Los Angeles, CA"
Kiwami,91604-2606,+1 818-763-3910,4.5,$$ - $$$,42,11920 Ventura Blvd
The District by Hannah An,90048-3804,+1 310-278-2345,4.0,$$ - $$$,44,8722 W 3rd St
Sugarfish by Sushi Nozawa,90049-6517,+1 310-820-4477,4.5,$$ - $$$,53,11640 San Vicente Blvd
Cho Oishi,90028-6136,323-464-0500,3.5,$$ - $$$,130,6801 Hollywood Blvd
Chego,90034,+1 310-287-0337,4.5,$,41,727 N. Broadway
Kifune Sushi Bar,90292-5213,+1 310-822-1595,4.0,$$ - $$$,48,405 Washington Blvd
Bulan Thai Vegetarian Restaurant,90046-7626,+1 323-857-1882,4.5,$$ - $$$,40,7168 MELROSE AVE.
Kabuki - Hollywood,90028,+1 323-464-6003,4.0,$$ - $$$,52,1545 Vine Street
Koi,90069,+1 310-659-9449,4.5,,24,7355 Lankershim Blvd
Road to Seoul,90006-3108,+1 323-731-9292,4.5,$$ - $$$,56,1230 S Western Ave
Kula Revolving Sushi Bar,90012-4202,+1 213-290-9631,4.0,$$ - $$$,49,333 E 2nd St
Hoy-Ka Thai Noodle House,90028-6505,+1 323-463-2979,4.5,$,22,5908 W Sunset Blvd
Robata Jinya,90048-4307,+1 323-653-8877,4.5,$$ - $$$,35,8050 W 3rd St
Araya's Place,90048-4507,+1 323-900-0557,5.0,$$ - $$$,15,8101 1/2 Beverly Blvd
Oo Kook Korean BBQ,90005,+1 213-385-5665,4.0,$$ - $$$,30,3385 W 8th St
City Wok,91602-2346,+1 818-506-4050,4.0,$,82,10949 Ventura Blvd
Palm Thai Restaurant,90028-5410,+1 323-462-5073,4.0,$$ - $$$,170,5900 Hollywood Blvd
Pailin Thai Cuisine,90028-6809,+1 323-467-6775,4.5,$,22,5621 Hollywood Blvd
R.O.C. Kitchen,90025-6229,,4.0,$$ - $$$,36,2049 Sawtelle Blvd
Ekkamai Thai Restaurant,90066-5105,+1 310-827-2777,4.0,$$ - $$$,26,13223 W Washington Blvd
Hide Sushi,90025-6230,+1 310-477-7242,4.0,$$ - $$$,82,2040 Sawtelle Blvd
Sushi Roku,90048-4124,+1 323-655-6767,4.0,$$ - $$$,109,8445 W 3rd St
Genghis Cohen,90046,+1 323-653-0640,4.0,$$ - $$$,72,740 N. Fairfax Ave.
Sushi Yuzu,91602-2518,+1 818-763-8355,4.5,$$ - $$$,28,10118 Riverside Dr
Orochon Ramen,,+1 213-617-1766,4.0,$,75,123 Astronaut E S Onizuka St
Park's BBQ,90006-1647,+1 213-380-1717,4.5,$$ - $$$,51,955 S Vermont Ave
Wabi-Sabi,90291-3744,+1 310-314-2229,4.0,$$ - $$$,52,1635 Abbot Kinney Boulevard
Hollywood Thai Restaurant,90027-4908,+1 323-467-0926,4.5,$$ - $$$,24,5241 Hollywood Blvd
Night + Market,90026-2118,+1 310-275-9724,4.5,$$ - $$$,24,3322 W Sunset Blvd
Sushi Stop,91316-3853,+1 818-986-0014,4.5,$$ - $$$,22,17547 Ventura Blvd
FIN the Restaurant,90066-5507,+1 310-398-8611,4.5,$$ - $$$,18,12223 W Washington Blvd
Cafe Sierra,91608-1001,+1 818-509-2030,4.0,$$ - $$$,96,555 Universal Hollywood Dr
Kabuki Japanese Restaurant,90045-8832,+1 310-641-5524,4.0,$$ - $$$,57,6081 Center Dr Ste 203
KazuNori,90013-1310,+1 213-493-6956,4.5,$$ - $$$,22,421 S Main St
Sushi Sasabune,90049,+1 310-478-3596,4.5,$$$$,77,11917 Wilshire Blvd
Thai Pepper Restaurant,90028-5201,+1 323-467-2699,4.5,$,35,6219 Franklin Avenue
Bao Dim Sum House,90048-4516,+1 323-655-6556,4.0,$$ - $$$,84,8256 Beverly Blvd
Sushi Dan,91604-3546,+1 818-985-2254,4.0,$$ - $$$,53,11056 Ventura Blvd
Sushi Enya,90012-3901,,4.5,$$ - $$$,16,343 E 1st St
Baramee Thai Restaurant,90731-3318,+1 310-521-9400,4.5,$$ - $$$,25,354 W 6th St
"Frontier Wok, Too",,+1 818-954-9956,4.5,$,26,1816 West Olive Avenue
Shabu Shabu House Restaurant,90012-3908,+1 213-680-3890,4.5,$$ - $$$,67,127 Japanese Village Plaza Mall
Hurry Curry of Tokyo,90025-6249,+1 310-473-1640,4.0,$,48,2131 Sawtelle Blvd
Hamasaku,90025-3523,+1 310-479-7636,4.5,$$ - $$$,21,11043 Santa Monica Blvd
Benihana,91436-2271,+1 818-788-7121,4.0,$$ - $$$,76,16226 Ventura Blvd
Blossom Restaurant,90013-1320,+1 213-623-1973,4.0,$$ - $$$,44,426 S Main St
Pf Changs,,,4.0,$$ - $$$,27,Sherman Oaks Galleria
Ruen Pair,90027-4912,+1 323-466-0153,4.0,$$ - $$$,29,5257 Hollywood Blvd
Singapore's Banana Leaf,90036-3109,+1 323-933-4627,4.0,$,75,6333 W 3rd St
L A Rose Cafe,90029-1712,+1 323-662-4024,4.5,,28,4749 Fountain Ave
Golden Dragon Restaurant,90012-1707,+1 213-626-5916,4.0,$$ - $$$,51,960 N Broadway
Canal Club,90291-4125,+1 310-823-3878,4.0,$$ - $$$,44,2025 Pacific Ave
Vinh Loi Tofu Vietnamese Vegan Restaurant,91335,+1 818-996-9779,4.5,$$ - $$$,21,18625 Sherman Way #101
Beverly Soon Tofu,90006-2642,+1 213-380-1113,4.5,$$ - $$$,29,2717 W Olympic Blvd Ste 108
Agra Tandoori,91356,+1 818-342-2290,4.5,$,18,19560 Ventura Boulevard
Sanamluang Cafe,90027-6131,+1 323-660-8006,4.0,$,68,5176 Hollywood Blvd
Ham Ji Park,90019-4311,+1 323-733-8333,4.5,$$ - $$$,15,4135 W Pico Blvd
Hoy's Wok Restaurant,90029,+1 323-850-6637,4.0,$,25,7105 West Sunset Boulevard
Bugis Street Brasserie,,+1 213-624-1100,4.0,$$ - $$$,50,501 S. Olive St.
Sushi Zo,90034-2713,+1 310-842-3977,4.5,$$$$,39,9824 National Blvd
Sweet Fish Sushi Bar,90094-4017,+1 424-228-2298,4.5,$$ - $$$,15,13020 Pacific Promenade
Seoul House of Tofu,90025-6200,+1 310-444-9988,4.0,$$ - $$$,21,2101 Sawtelle Blvd
Phoenix Inn Chinese Cuisine,90012-2832,+1 213-629-2812,4.5,,16,301 Ord Street
Soot Bull Jeep,90005-1903,+1 213-387-3865,4.5,$$ - $$$,45,3136 W 8th St
The Vegan Joint,90034-4664,+1 310-559-1357,4.0,$,28,10438 National Blvd
Maruya,90012-3909,+1 213-613-9988,4.0,$$ - $$$,21,104 Japanese Village Plaza Mall
Summer Canteen,91602-2346,+1 818-985-6611,4.5,$$ - $$$,16,4444 Lankershim Blvd
Ahgassi Gopchang,90020-5102,+1 213-249-9678,4.5,$$ - $$$,12,3744 W 6th St
Yen Sushi,90035,+1 310-278-0691,4.0,$$ - $$$,33,9618 West Pico Boulevard #509
Soi 7 @ Maison Metro,90014-2502,+1 213-537-0333,4.0,$$ - $$$,40,518 W 7th St
Hirozen,90048-2633,+1 323-653-0470,4.5,$$ - $$$,29,8385 Beverly Blvd
Oi Asian Fusion,91303,+1 818-776-0282,4.5,$,13,6747 Tampa Ave
Chinese Friends Restaurant,90012-1707,+1 213-972-9089,4.5,$,18,984 N Broadway
Curry House,,+1 213-687-7344,4.0,$,47,123 Astronaut E S Onizuka St
Tara's Himalayan Cuisine,90034-7109,+1 310-836-9696,4.0,$$ - $$$,41,10855 Venice Blvd
Mr. Ramen,90063,+1 213-626-4252,4.0,$,44,341 East 1st Street
Star Noodle Express,90045-5910,+1 310-338-1337,4.0,$,19,5310 W Century Blvd
Urban Ramen,90046-3429,+1 323-512-6077,4.0,$,29,7300 W Sunset Blvd
Noshi Sushi,90004-1802,+1 323-469-3458,4.0,$$ - $$$,23,4430 Beverly Blvd
Jasmine Thai Cuisine,91326,+1 818-831-2100,4.5,$$ - $$$,19,19707 Rinaldi St
SHU - Sushi House Unico,90077,+1 310-474-2740,4.5,$$ - $$$,18,2932 1/2 Beverly Glen Circle
The Room Sushi Bar,90025-4612,+1 310-474-0462,4.0,$$ - $$$,14,1884 Westwood Blvd
FuRaiBo,90025-6230,+1 310-444-1432,4.0,$$ - $$$,51,2068 Sawtelle Blvd
