ID,shop name,postal code,phone number,star,price,number of reviews,street address
1,sushi gen,90012,2136170552,4.5,$$ - $$$,271,422 e 2nd st
2,sugarfish by sushi nozawa,90017,2136273000,4.5,$$ - $$$,280,600 w 7th st
3,rocksugar pan asian kitchen,90067,3105529988,4.5,$$ - $$$,336,10250 santa monica blvd
4,blujam cafe,90046,3239519191,4.5,$$ - $$$,202,7371 melrose ave
5,nobu,90069,3106575711,4.5,$$$$,246,903 n la cienega blvd
6,katsuya,90028,3238718777,4.5,$$$$,400,6300 hollywood blvd
7,yamashiro,90068,3234665125,4.0,$$$$,618,1999 n sycamore ave
8,ayara thai cuisine,90045,3104108848,4.5,$$ - $$$,173,6245 w 87th st
9,yang chow,90012,2136250811,4.0,$$ - $$$,239,819 n broadway
10,n/naka,90034,3108366252,5.0,$$$$,77,3455 overland ave
11,daikokuya,90025,3105754999,4.5,$,202,2208 sawtelle blvd
12,tatsu ramen,90025,3106842889,4.5,$$ - $$$,88,2123 sawtelle blvd
13,genwa,90036,3235490760,4.5,$$ - $$$,134,5115 wilshire blvd suite #a
14,poke-poke,,4242285132,4.5,$,66,1827 ocean front walk
15,wp24,,2137438824,4.0,$$$$,235,"the ritz-carlton, 24th floor"
16,katsuya - la live,90015,2137479797,4.0,$$ - $$$,199,800 w olympic blvd
17,komodo,,3102465153,4.5,$,55,8809 w. pico blvd.
18,hae jang chon korean bbq restaurant,90020,2133898777,4.5,$$ - $$$,50,3821 w 6th st
19,hinoki & the bird,90067,3105521200,4.0,$$$$,147,10 w century dr
20,sushi katsu-ya,91604,8189856976,4.5,$$ - $$$,121,11680 ventura blvd
21,chosun galbee restaurant,90019,3237343330,4.0,$$ - $$$,108,3330 w olympic blvd
22,jitlada restaurant,90027,3236679809,4.0,$$ - $$$,109,5233 1/2 w sunset blvd
23,bcd tofu house,90010,2133826677,4.0,$$ - $$$,129,3575 wilshire blvd
24,si laa thai,90035,3108587738,5.0,$$ - $$$,48,1128 s robertson blvd
25,panda express,90028,3234606430,4.5,$,49,5543 w sunset blvd
26,iroha,91604,8189909559,4.5,$$ - $$$,64,12953 ventura blvd
27,chaya downtown,90071,2132369577,4.5,$$ - $$$,102,525 s. flower street
28,kang hodong baekjeong,90020,2133849678,4.5,$$ - $$$,73,3465 w 6th st
