_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number
0,1,1646,sushi gen,90012.0,422 e 2nd st,2136170552.0,hama sushi,90012.0,347 e 2nd st,2136803454.0
1,1,1762,sushi gen,90012.0,422 e 2nd st,2136170552.0,sushi gen,90012.0,422 e 2nd st,2136170552.0
2,1,2210,sushi gen,90012.0,422 e 2nd st,2136170552.0,zencu sushi & grill,90012.0,319 e 2nd st,2136877780.0
3,1,2386,sushi gen,90012.0,422 e 2nd st,2136170552.0,kula revolving sushi bar,90012.0,333 e 2nd st,2132909631.0
4,2,2029,sugarfish by sushi nozawa,90017.0,600 w 7th st,2136273000.0,sugarfish by sushi nozawa,90017.0,600 w 7th st,2136273000.0
5,3,1328,rocksugar pan asian kitchen,90067.0,10250 santa monica blvd,3105529988.0,rocksugar pan asian kitchen,90067.0,10250 santa monica blvd,3105529988.0
6,6,1522,katsuya,90028.0,6300 hollywood blvd,3238718777.0,katsuya hollywood,90028.0,6300 hollywood blvd,3233912757.0
7,7,2199,yamashiro,90068.0,1999 n sycamore ave,3234665125.0,pagoda bar at yamashiro hollywood,90068.0,1999 n sycamore ave,3234665125.0
8,8,1441,ayara thai cuisine,90045.0,6245 w 87th st,3104108848.0,ayara thai cuisine,90045.0,6245 w 87th st,3104108848.0
9,9,1850,yang chow,90012.0,819 n broadway,2136250811.0,yang chow,90012.0,819 n broadway,2136250811.0
10,10,2057,n/naka,90034.0,3455 overland ave,3108366252.0,n/naka,90034.0,3455 overland ave,3108366252.0
11,11,1945,daikokuya,90025.0,2208 sawtelle blvd,3105754999.0,daikokuya,90064.0,2208 sawtelle blvd,3105754999.0
12,12,1856,tatsu ramen,90025.0,2123 sawtelle blvd,3106842889.0,tatsu ramen,90025.0,2123 sawtelle blvd,3106842889.0
13,13,1215,genwa,90036.0,5115 wilshire blvd suite #a,3235490760.0,genwa korean bbq,90036.0,5115 wilshire blvd,3235490760.0
14,16,2131,katsuya - la live,90015.0,800 w olympic blvd,2137479797.0,katsuya l.a. live,90015.0,800 w olympic blvd,2138058763.0
15,17,1054,komodo,,8809 w. pico blvd.,3102465153.0,komodo,90035.0,8809 w pico blvd,3102465153.0
16,18,1559,hae jang chon korean bbq restaurant,90020.0,3821 w 6th st,2133898777.0,quarters korean bbq,90020.0,3465 w 6th st,2133658111.0
17,18,1564,hae jang chon korean bbq restaurant,90020.0,3821 w 6th st,2133898777.0,hae jang chon korean bbq restaurant,90020.0,3821 w 6th st,2133898777.0
18,18,1651,hae jang chon korean bbq restaurant,90020.0,3821 w 6th st,2133898777.0,gaam restaurant and lounge,90020.0,3465 w 6th st,2133888850.0
19,18,1952,hae jang chon korean bbq restaurant,90020.0,3821 w 6th st,2133898777.0,mapo kkak doo gee restaurant,90020.0,3611 w 6th st,2137366668.0
20,18,2014,hae jang chon korean bbq restaurant,90020.0,3821 w 6th st,2133898777.0,thai original bbq and restaurant,90020.0,4055 w 3rd st,2133838571.0
21,18,2081,hae jang chon korean bbq restaurant,90020.0,3821 w 6th st,2133898777.0,kuishimbo restaurant,90020.0,3407 w 6th st,2133805049.0
22,19,1158,hinoki & the bird,90067.0,10 w century dr,3105521200.0,hinoki & the bird,90067.0,10 w century dr,3105521200.0
23,21,2075,chosun galbee restaurant,90019.0,3330 w olympic blvd,3237343330.0,chosun galbee,90019.0,3330 w olympic blvd,3237343330.0
24,22,595,jitlada restaurant,90027.0,5233 1/2 w sunset blvd,3236679809.0,acapulco mexican restaurant y cantina,90027.0,4444 w sunset blvd,3236655751.0
25,22,2381,jitlada restaurant,90027.0,5233 1/2 w sunset blvd,3236679809.0,ocha classic restaurant,90027.0,5189 w sunset blvd,3236633901.0
26,22,2425,jitlada restaurant,90027.0,5233 1/2 w sunset blvd,3236679809.0,jitlada,90027.0,5233 w sunset blvd,3236679809.0
