shop name,postal code,phone number,star,price,number of reviews,street address
El Jalisciense #2,90201,(323) 562-1486,-1,,4,6201 Eastern Avenue
Pata Salada,90036,(323) 988-3744,-1,$$,24,672 S La Brea Ave
Taqueria Los Anaya,90016,(323) 731-4070,-1,$,701,4651 W Adams Blvd
Tlayuda LA Mexican Restaurant,90029,(213) 261-4667,-1,$,318,5450 Santa Monica Blvd
Guisados,90026,(213) 250-7600,-1,$,1416,1261 W Sunset Blvd
El Zarape,90029,(323) 741-0465,-1,$,140,5203 Fountain Ave
Casa La Doña,90014,(213) 627-7441,-1,$,382,800 S Main St
Guelaguetza Restaurante,90006,(213) 427-0608,-1,$$,1223,3014 W Olympic Blvd
Cocina Condesa,91604,(818) 579-4264,-1,$$,827,11616 Ventura Blvd
Albert’s Mexican Grill,90004,(323) 466-1193,-1,$,75,5210 Beverly Blvd
Chichen Itza,90007,(213) 741-1075,-1,$$,846,3655 S Grand Ave
Mercado Hollywood,90068,(323) 512-2500,-1,$$,335,3413 Cahuenga Blvd W
Mama Chela’s Kitchen,90028,(323) 645-7828,-1,$,31,5907 Hollywood Blvd
La Valentina Mexican Grill,90047,(323) 541-9901,-1,$,28,1735 West Manchester Ave
Salsa & Beer,91607,(747) 248-5633,-1,$$,1776,11669 Sherman Way
El Huero,90007,(213) 747-0012,-1,$,503,3000 S Figueroa St
Guisados,90033,(323) 264-7201,-1,$,1917,2100 E Cesar Chavez Ave
Cilantro Lime,90015,(213) 628-3517,-1,$,117,934 Los Angeles St
Guisados DTLA,90013,(213) 627-7656,-1,$,849,541 S Spring St
El Flamin’ Taco,90020,(213) 718-1790,-1,$,510,505 S Vermont Ave
El Carmen,90048,(323) 852-1552,-1,$$,787,8138 W 3rd St
La Valentina Mexican Grill,90007,(323) 734-4071,-1,$,141,2719 Vermont Ave
Yxta Cocina Mexicana,90021,(213) 596-5579,-1,$$,749,601 S Central Ave
Happy Taco,90006,(213) 384-1309,-1,$,129,1309 S Hoover St
Restaurante Tierra Caliente,90065,(323) 819-4386,-1,$,122,1217 Cypress Ave
El Gordo,90043,(323) 473-2140,-1,,1,
Campos Famous Burritos,90232,(310) 836-2680,-1,$,67,10352 Venice Blvd
Tio Pepe,90023,(323) 264-6453,-1,$,15,3578 E 8th St
La Estrella Mexican Food,90018,(323) 533-1229,-1,$,34,1733 W Adams Blvd
Cactus Taqueria #1,90038,(323) 464-5865,-1,$,708,950 Vine St
Mercado,90048,(323) 944-0947,-1,$$,675,7910 W 3rd St
La Noche Buena Restaurant,90012,(213) 628-2078,-1,$,232,12 Olvera St
El Chato Taco Truck,90019,,-1,$,1053,5300 W Olympic Blvd
Plancha Tacos,90048,(323) 951-9911,-1,$,518,8250 W 3rd St
Alta California Fonda,90019,(323) 591-1095,-1,$$,148,5303 W Pico Blvd
Sonoritas Prime Tacos,90025,(310) 444-9100,-1,$$,313,2004 Sawtelle Blvd
El Huarachito,90031,(323) 223-0476,-1,$,418,3010 N Broadway
Mexicali Taco & Co,90012,(213) 613-0416,-1,$,679,702 N Figueroa St
Mariscos Mi Lindo Sinaloa,90255,(323) 585-2120,-1,$$,7,5527 Pacific Blvd
Tacos Vallarta,91331,(818) 891-3836,-1,$,21,8730 Woodman Ave
El Huero,90007,(213) 747-0012,-1,$,503,3000 S Figueroa St
