ID,shop name,postal code,phone number,star,price,number of reviews,street address
1,el jalisciense #2,90201,3235621486,-1,,4,6201 eastern avenue
2,pata salada,90036,3239883744,-1,$$,24,672 s la brea ave
3,taqueria los anaya,90016,3237314070,-1,$,701,4651 w adams blvd
4,tlayuda la mexican restaurant,90029,2132614667,-1,$,318,5450 santa monica blvd
5,guisados,90026,2132507600,-1,$,1416,1261 w sunset blvd
6,el zarape,90029,3237410465,-1,$,140,5203 fountain ave
7,casa la doña,90014,2136277441,-1,$,382,800 s main st
8,guelaguetza restaurante,90006,2134270608,-1,$$,1223,3014 w olympic blvd
9,cocina condesa,91604,8185794264,-1,$$,827,11616 ventura blvd
10,albert's mexican grill,90004,3234661193,-1,$,75,5210 beverly blvd
11,chichen itza,90007,2137411075,-1,$$,846,3655 s grand ave
12,mercado hollywood,90068,3235122500,-1,$$,335,3413 cahuenga blvd w
13,mama chela's kitchen,90028,3236457828,-1,$,31,5907 hollywood blvd
14,la valentina mexican grill,90047,3235419901,-1,$,28,1735 west manchester ave
15,salsa & beer,91607,7472485633,-1,$$,1776,11669 sherman way
16,el huero,90007,2137470012,-1,$,503,3000 s figueroa st
17,guisados,90033,3232647201,-1,$,1917,2100 e cesar chavez ave
18,cilantro lime,90015,2136283517,-1,$,117,934 los angeles st
19,guisados dtla,90013,2136277656,-1,$,849,541 s spring st
20,el flamin' taco,90020,2137181790,-1,$,510,505 s vermont ave
21,el carmen,90048,3238521552,-1,$$,787,8138 w 3rd st
22,la valentina mexican grill,90007,3237344071,-1,$,141,2719 vermont ave
23,yxta cocina mexicana,90021,2135965579,-1,$$,749,601 s central ave
24,happy taco,90006,2133841309,-1,$,129,1309 s hoover st
25,restaurante tierra caliente,90065,3238194386,-1,$,122,1217 cypress ave
26,el gordo,90043,3234732140,-1,,1,
27,campos famous burritos,90232,3108362680,-1,$,67,10352 venice blvd
28,tio pepe,90023,3232646453,-1,$,15,3578 e 8th st
29,la estrella mexican food,90018,3235331229,-1,$,34,1733 w adams blvd
30,cactus taqueria #1,90038,3234645865,-1,$,708,950 vine st
31,mercado,90048,3239440947,-1,$$,675,7910 w 3rd st
32,la noche buena restaurant,90012,2136282078,-1,$,232,12 olvera st
33,el chato taco truck,90019,,-1,$,1053,5300 w olympic blvd
34,plancha tacos,90048,3239519911,-1,$,518,8250 w 3rd st
35,alta california fonda,90019,3235911095,-1,$$,148,5303 w pico blvd
36,sonoritas prime tacos,90025,3104449100,-1,$$,313,2004 sawtelle blvd
37,el huarachito,90031,3232230476,-1,$,418,3010 n broadway
38,mexicali taco & co,90012,2136130416,-1,$,679,702 n figueroa st
39,mariscos mi lindo sinaloa,90255,3235852120,-1,$$,7,5527 pacific blvd
40,tacos vallarta,91331,8188913836,-1,$,21,8730 woodman ave
41,cascabel,91602,8189274210,-1,$$,338,10717 riverside dr
42,el paisano,90026,,-1,$,59,1185 w sunset blvd
43,la fuente restaurant,90042,3232586109,-1,$,161,5530 monte vista st
44,la numero uno,90038,3239571111,-1,$,243,1247 vine st
45,mex perú gipsy,90015,2137481773,-1,$$,246,414 e 12th st
46,la cocinita,90019,3239371249,-1,$,10,4379 w pico blvd
47,tabachines cocina,90013,2134892950,-1,$$,150,517 s spring st
48,el grullense restaurant,90006,2134879540,-1,$,67,2274 w pico blvd
49,carnitas michoacan,90031,3232252729,-1,$,933,1901 n broadway
50,yuca's,90027,3236621214,-1,$,652,2056 hillhurst ave
51,tacos los gueros,90023,3235686225,-1,$,18,1300 mirasol st
52,gilbert's el indio restaurant,90405,3104508057,-1,$$,667,2526 pico blvd
53,tacos tumbras a tomas,90013,2136201071,-1,$,614,317 s broadway
54,huitlacoche,90019,3233810688,-1,$,47,
55,bs taqueria,90014,2136223744,-1,$$,517,514 w 7th st
56,las molenderas restaurant,90023,3232692812,-1,$,63,2635 whittier blvd
57,sonoratown,90014,3109876994,-1,$,96,208 e 8th st
58,romero's mexican food,90020,2134808438,-1,$,144,516 s western ave
59,cielito lindo,90012,2136874391,-1,$,486,e-23 olvera st
60,guero's cocina mexicana,90014,2134881574,-1,$,60,737 s los angeles st
61,white boy tacos,90014,8057383794,-1,$,49,722 s broadway
62,el tepeyac cafe,90033,3232681960,-1,$$,1739,812 n evergreen ave
63,king taco,90006,2133848115,-1,$,816,2020 w pico blvd
64,tere's mexican grill,90038,3234689345,-1,$,404,5870 melrose ave
65,leo's tacos truck,90019,3233462001,-1,$,876,1515 s la brea ave
66,broken spanish,90015,2137491460,-1,$$$,358,1050 s flower st
67,villa morelianas,90013,2137250848,-1,$,187,317 s broadway
68,antequera de oaxaca,90038,3234661101,-1,$,123,5200 melrose ave
69,la azteca tortilleria,90022,3232625977,-1,$,471,4538 e cesar e chavez ave
70,candela taco bar & lounge,90036,3239360533,-1,$$,460,831 s la brea ave
71,velvet margarita,90028,3234692000,-1,$$,936,1612 n cahuenga blvd
72,cacao mexicatessen,90041,3234782791,-1,$$,1127,1576 colorado blvd
73,el nopal mexican restaurant,90034,3105594732,-1,$$,473,10426 national blvd
74,mondo taco,90404,3103108922,-1,$,724,2200 colorado ave
75,benny's tacos & chicken rotisserie,90045,3106708226,-1,$,623,7101 w manchester ave
76,toca madera,90048,3238529400,-1,$$$,822,8450 w 3rd st
77,conchitas,90029,3234985360,-1,$,80,820 n western ave
78,rincon oaxaqueño,90028,3234613622,-1,$,57,6655 hollywood blvd
79,gloria's cafe,90034,3108380963,-1,$$,1387,10227 venice blvd
80,ocho mexican grill,90017,2137884788,-1,$,254,630 w 6th st
81,casita taco al carbon,90014,2136277414,-1,$,74,609 s spring st
82,dos burritos,90028,3234604178,-1,$,208,6328 hollywood blvd
83,tacos tu madre,90025,4248327092,-1,$,410,1945 1/2 westwood blvd
84,la chuperia,90033,6263540267,-1,$,176,1145 n mission rd
85,tamales alberto,90026,2134844485,-1,$,186,1644 w temple st
86,sky's gourmet tacos,90019,3233025932,-1,$,761,5408 w pico blvd
87,sol cocina - playa vista,90094,4242890066,-1,$$,279,12775 w millennium dr
88,rauls mexican restaurant,90250,3106755563,-1,$,111,13908 inglewood ave
89,mixto comida latina,90027,3236681818,-1,$,533,2827 hyperion ave
90,pez cantina,90071,2132582280,-1,$$,362,401 s grand ave
91,huarache azteca restaurante,90042,3234789572,-1,$,601,5225 york blvd
92,tacos el compita,90019,3239350490,-1,$,203,4477 w pico blvd
93,salazar,90039,,-1,$$,284,2490 n fletcher dr
94,te'kila,90028,3239602404,-1,$$,549,6541 hollywood blvd
95,secret taco stand,90021,,-1,$,156,2000 e 7th st
96,tacos villa corona,90039,3236613458,-1,$,492,3185 glendale blvd
97,el taco toro,90230,3105032062,-1,$,50,4400 slauson ave
98,anejo cantina and grill,91403,8183803180,-1,$$,935,14755 ventura blvd
99,dino's chicken and burgers,90006,2133803554,-1,$,1599,2575 w pico blvd
100,las ranas cafe,90032,3232240435,-1,$,55,5472 valley blvd
101,taqueria el charrito,90029,3236610467,-1,$,48,811 n virgil ave
102,el cartel,90036,3239311281,-1,$,160,5515 wilshire blvd
103,la taquiza no 2,90007,2137419795,-1,$,543,3009 s figueroa st
104,mariscos jalisco,90023,3235286701,-1,$,427,3040 e olympic blvd
105,cilantro,90017,2136283111,-1,$,32,1234 wilshire blvd
106,eduardo's border grill,90025,3104752410,-1,$,314,1830 westwood blvd
107,sabores oaxaqueños restaurant,90005,2134273508,-1,$$,76,3337 1/2 w 8th st
108,delia's restaurant,90041,3232567841,-1,$,150,4501 york blvd
109,rakken tacos,90040,3238002126,-1,$,204,2444 s atlantic blvd
110,fish taco express,90022,3232648233,-1,$,150,5144 e beverly blvd
111,mexicano,90008,3232960798,-1,$$,257,3650 w martin luther king jr blvd
112,taqueria tijuana,90003,3237501719,-1,$,61,241 w florence ave
113,taqueria los amigos,90026,2134817579,-1,$,45,1378 w sunset blvd
114,el tauro taco,90010,,-1,$,115,
115,juanita's café,90012,2136281013,-1,$,145,20 olvera st
116,puerto nuevo restaurant,90043,3232996055,-1,$,93,4445 w slauson ave
117,el compadre,90046,3238747924,-1,$$,1206,7408 w sunset blvd
118,tacos baja ensenada,90022,3238871980,-1,$,903,5385 whittier blvd
119,las glorias del buen comer,90026,2134849090,-1,$,160,620 silver lake blvd
120,la guadalupana,90017,2134832973,-1,$,35,1422 w 6th st
121,rincon huasteco,90201,3235372152,-1,$$,3,4846 florence ave
122,la abeja restaurant,90065,3232210474,-1,$,235,3700 n figueroa st
123,oaxacan quesadilla cart,90026,,-1,$,120,1246 echo park ave
124,los cinco puntos,90063,3232614084,-1,$,337,3300 e cesar e chavez ave
125,los tres cochinitos restaurant,90031,3232212740,-1,$,82,3111 n main st
126,la 1st st taqueria,90033,3232629787,-1,$,104,1843 1/2 e 1st st
127,mariela's taco,90020,2133817356,-1,$,292,3662 w 3rd st
128,zermeño's restaurant,90038,3234671202,-1,$,186,6115 santa monica blvd
129,casa sanchez,90066,3103979999,-1,$$,881,4500 s centinela ave
130,tacos el tuca,90044,6506694015,-1,$,82,428 11th st
131,nina's mexican food,90025,3104795081,-1,$,189,1651 sawtelle blvd
132,langosta ranchera,90022,3234851886,-1,$$,47,5862 whittier blvd
133,el charro restaurant,90017,2132920668,-1,$,42,1621 w 6th st
134,tacos delta,90026,3236642848,-1,$,461,3806 w sunset blvd
135,frank's restaurant,90036,3236555277,-1,$,211,363 s fairfax ave
136,la morenita oaxaquena restaurant,90020,2133659201,-1,$$,38,3550 w 3rd st
137,juanita's tacos,90189,,-1,$,99,corner of s western & w 3rd st
138,pepe's tacos,90066,3103918667,-1,$,363,4582 s centinela ave
139,lupita's restaurant,90065,3232237835,-1,$,38,2634 idell st
140,el cholo,90006,3237342773,-1,$$,1072,1121 s western ave
141,marielas taco,90026,2134130484,-1,$,132,2501 w sunset blvd
142,la reyna restaurant,90021,2136249879,-1,$,46,2000 e 7th st
143,taco love,90046,3236508226,-1,$,316,7980 sunset blvd
144,chicas tacos,90014,2138960373,-1,$$,220,728 s olive st
145,juquila restaurant,90025,3103121079,-1,$,268,11619 santa monica blvd
146,project taco,90048,3234247564,-1,$,138,6325 wilshire blvd
147,la carreta,90011,3232327133,-1,$,133,1471 e vernon ave
148,vicky's restaurant,90033,3232645595,-1,$,23,2308 e 1st st
149,antonio's restaurant,90046,3236589060,-1,$$,213,7470 melrose ave
150,yeya's restaurant,90033,3232644245,-1,$,49,1816 e 1st st
151,lupe's burritos,90022,3232666881,-1,$,258,4642 e 3rd st
152,mexicanos 30-30,90033,3232249466,-1,$,87,2042 marengo st
153,tacos locos,90006,3237346357,-1,$,44,2148 venice blvd
154,tacos la estrella,90065,3232585256,-1,$,106,3415 fletcher dr
155,casita del campo,90027,3236624255,-1,$$,428,1920 hyperion ave
156,ave 26 taco stand,90031,,-1,$,255,w ave 26 and humboldt st
157,best fish taco in ensenada,90027,3234665552,-1,$,1851,1650 hillhurst ave
158,la barca restaurant,90007,3237356567,-1,$$,553,2414 s vermont ave
159,la villa cafe,90039,8183315243,-1,$,29,4105 chevy chase dr
160,paco's tacos,90066,3103919616,-1,$$,878,4141 s centinela ave
161,pinches tacos,90046,3236500614,-1,$,589,8200 w sunset blvd
162,the king of grill,90028,3233459684,-1,$,69,1525 1/2 n la brea ave
163,danny's tacos,90015,3235297486,-1,$,285,1023 s grand ave
164,la estrella mexican food,90031,3232251148,-1,$,91,3733 n mission rd
165,el parian restaurant,90015,2133867361,-1,$,163,1528 w pico blvd
166,zamora brothers,90015,2133855553,-1,$,35,1559 w pico blvd
167,ciro's restaurant,90033,3232695104,-1,$$,258,705 n evergreen ave
168,los molcajetes,90005,2133834782,-1,$,92,695 s hoover st
169,tacomiendo,90064,3104810804,-1,$,383,11462 gateway blvd
170,la playita siete mares,90026,3236644604,-1,$,77,3143 w sunset blvd
171,tacos tu madre,90027,3235223651,-1,$,174,1824 n vermont ave
172,cilantro mexican grill,91605,8187657998,-1,$,454,7214 whitsett ave
173,taqueria jalisco,90016,3239320274,-1,$,38,4755 w washington blvd
174,calle tacos,90028,3234659100,-1,$,464,6508 hollywood blvd
175,la naranja taqueria restaurant,90031,3232215923,-1,$,126,2333 daly st
176,mexikosher,90035,3102710900,-1,$$,268,8832 w pico blvd
177,taco man,90033,3232226560,-1,$,91,1602 n soto st
178,gus's lunch box,90039,2136318250,-1,$,139,2379 glendale blvd
179,el potrillo cafe,90004,2137387778,-1,$,102,210 n virgil ave
180,la tostaderia,90013,2136242378,-1,$$,135,317 s broadway
181,tacos ochoa,90057,,-1,$,27,120 s la fayette park pl
182,escuela taqueria,90036,3239326178,-1,$$,315,7615 beverly blvd
183,rjm mexican grill,91352,8189836919,-1,$,155,8181 sunland blvd
184,el jalapeno tacos,90005,2133650048,-1,$,92,854 s vermont ave
185,el atacor restaurant,90065,3233420180,-1,$,144,3520 n figueroa st
186,viva fresh mexican grill,90045,3103389153,-1,$,268,6515 s sepulveda blvd
187,olga's naturally,90016,3239650269,-1,$,125,3560 s la cienega blvd
188,the mexican village,90004,2133850479,-1,$$,217,3668 beverly blvd
189,el compadre,90026,2132504505,-1,$$,506,1449 w sunset blvd
190,mariscos jalisco,90021,3233091622,-1,$,41,e 10th st and towne ave
191,monte alban restaurant,90025,3104447736,-1,$$,471,11929 santa monica blvd
192,tacos por favor,90064,3104792818,-1,$,261,11901 w olympic blvd
193,la azteca,90039,8182405852,-1,$,34,4203 chevy chase dr
194,puertos del pacifico,90023,3232620203,-1,$$,172,1240 s soto st
195,teresita's,90063,3232666045,-1,$$,154,3826 e 1st st
196,tacos mexico,90015,2136272399,-1,$,222,913 s broadway
197,el condor,90026,3236604500,-1,$$,188,3701 sunset blvd
198,llamarada,90031,3232212259,-1,$,73,2622 pasadena ave
199,the tamale cafe,90014,2133270982,-1,$,82,215 w 6th st
200,el charro restaurant,90066,3103911885,-1,$,66,12819 venice blvd
201,las delicias,90062,3232946325,-1,$,17,4029 s western ave
202,joselitos mexican food,91020,8443042071,-1,$$,271,2345 honolulu ave
203,luisitos torta's & jugos,90033,3232618384,-1,$,79,1908 3/4 e 1st st
204,tacos el pecas,90023,,-1,$,123,999 s soto st
205,la fonda de los camperos,90057,2133805055,-1,$$,105,2501 wilshire blvd
206,cemitas poblanas,90064,3235353520,-1,$,27,2415 manning ave
207,rubio's cafe,90034,3102021770,-1,$,103,3380 s robertson blvd
208,tacos al pastor,90029,3236449806,-1,$,92,5179 santa monica blvd
209,casa linda,90291,3106641177,-1,$$,59,1025 abbot kinney blvd
210,petty cash taqueria,90036,3239335300,-1,$$,589,7360 beverly blvd
211,al & bea's mexican food,90033,3232678810,-1,$,453,2025 e 1st st
212,birrieria de don boni,90033,3232624552,-1,$$,163,1845 e 1st st
213,world famous grill,90201,3235620744,-1,$,181,4143 e florence ave
214,los california tacos,91105,6263767742,-1,$,683,510 s fair oaks ave
215,el cholo,90015,2137467750,-1,$$,489,1037 s flower st
216,la estrella restaurant,90023,3232664349,-1,$,113,940 s lorena st
217,pachecos tacos,90010,,-1,$,20,3474-3514 wilshire blvd
218,ocho mexican grill,90012,2137884888,-1,$,177,255 s grand ave
219,don chuy's mexican restaurant,90230,3103989606,-1,$$,157,11800 jefferson blvd
220,la bonita,90029,3236444909,-1,$,25,4874 santa monica blvd
221,los burritos,90028,3234615814,-1,$,177,6517 hollywood blvd
222,la chispa de oro,90033,3235260793,-1,$,64,2217 e cesar e chavez ave
223,atwater village tavern,90039,3236440605,-1,$$,298,3216 glendale blvd
224,tacos el hermano,90033,3236040255,-1,$,26,1220 e 1st st
225,the mexican taco catering,90680,9494648226,-1,$$,88,8040 orangewood ave
